is_member_true,score_lr,score_rf,pred_lr,pred_rf
1,0.5025510364270775,0.63,1,1
1,0.4993720811151406,0.585,0,1
1,0.5020802267831973,0.605,1,1
1,0.500589183426221,0.59,1,1
1,0.4999947512802644,0.595,0,1
1,0.4992366170991279,0.58,0,1
1,0.49972618595995494,0.57,0,1
1,0.5007904895141568,0.595,1,1
1,0.5014556379661873,0.6,1,1
1,0.5025034124484467,0.63,1,1
1,0.5014081066365984,0.635,1,1
1,0.501679055616434,0.64,1,1
1,0.49916047114834233,0.585,0,1
1,0.5024973627176402,0.635,1,1
1,0.5024427826463009,0.615,1,1
1,0.5028482061935555,0.63,1,1
1,0.5023355219143482,0.635,1,1
1,0.49996361896792235,0.595,0,1
1,0.5008700923980306,0.59,1,1
1,0.49953903068483013,0.575,0,1
1,0.50069555606218,0.575,1,1
1,0.49936825437235227,0.585,0,1
1,0.5019341135410872,0.625,1,1
1,0.5009802957754044,0.585,1,1
1,0.5029667092026322,0.645,1,1
1,0.5026001210553049,0.655,1,1
1,0.5014258860393429,0.635,1,1
1,0.5005382164050474,0.595,1,1
1,0.49988970466286076,0.555,0,1
1,0.5019267311562986,0.63,1,1
1,0.5022021915747545,0.645,1,1
1,0.50253307267229,0.63,1,1
1,0.5000440377961133,0.56,1,1
1,0.5028354028055375,0.64,1,1
1,0.4991760458385302,0.58,0,1
1,0.49915714922287024,0.57,0,1
1,0.501263876296418,0.605,1,1
1,0.5027098155798829,0.65,1,1
1,0.5013737987209982,0.6,1,1
1,0.5014015382114198,0.64,1,1
1,0.5000349549589889,0.595,1,1
1,0.5015423222312496,0.625,1,1
1,0.49929976030520584,0.585,0,1
1,0.5018222951997479,0.625,1,1
1,0.5027797022686945,0.63,1,1
1,0.5023141470474571,0.63,1,1
1,0.502841793423447,0.635,1,1
1,0.5003638787402304,0.56,1,1
1,0.501475726527275,0.645,1,1
1,0.5012705589293401,0.6,1,1
1,0.5015935766040847,0.635,1,1
1,0.5003614005892232,0.56,1,1
1,0.5010789423840454,0.615,1,1
1,0.5028698621089601,0.64,1,1
1,0.49987598284049595,0.605,0,1
1,0.5015013549814781,0.64,1,1
1,0.5011664300841817,0.61,1,1
1,0.4994292636998076,0.58,0,1
1,0.5015615577659944,0.625,1,1
1,0.4998405854950085,0.565,0,1
1,0.5016521185125923,0.6,1,1
1,0.5023486752860438,0.64,1,1
1,0.502606195435258,0.65,1,1
1,0.5017305313059043,0.595,1,1
1,0.5012347472526164,0.585,1,1
1,0.5007288911186678,0.585,1,1
1,0.5028143045880434,0.63,1,1
1,0.5029489256513908,0.63,1,1
1,0.5001312350736128,0.585,1,1
1,0.5003545088721405,0.58,1,1
1,0.5028555851371013,0.63,1,1
1,0.4995864360416802,0.575,0,1
1,0.49991215934374705,0.6,0,1
1,0.501514921118557,0.64,1,1
1,0.5011544082360848,0.605,1,1
1,0.5007787475844963,0.575,1,1
1,0.5005544764066362,0.575,1,1
1,0.5027176032034107,0.65,1,1
1,0.5021820338474124,0.61,1,1
1,0.5017473798022979,0.595,1,1
1,0.49957929683861907,0.57,0,1
1,0.5001622384626394,0.59,1,1
1,0.5012104693110506,0.605,1,1
1,0.5016535834010463,0.64,1,1
1,0.5026660954258381,0.65,1,1
1,0.5012732426096937,0.6,1,1
1,0.4993949301958188,0.575,0,1
1,0.5021403630597787,0.61,1,1
1,0.5000322310148679,0.595,1,1
1,0.5005171172337648,0.585,1,1
1,0.5020220771422786,0.59,1,1
1,0.5011662835407802,0.62,1,1
1,0.5009944701060545,0.585,1,1
1,0.49954294763108975,0.585,0,1
1,0.502498244712707,0.635,1,1
1,0.4997833415455754,0.56,0,1
1,0.5027934438894988,0.63,1,1
1,0.5012410829297774,0.58,1,1
1,0.5016032616742974,0.63,1,1
1,0.49975081102128033,0.57,0,1
1,0.5026042618556836,0.65,1,1
1,0.5016328058341802,0.635,1,1
